gene	gencodeId	n_transcripts	max_median	second_median	multi_isoform_normal
ABCA2	ENSG00000107331.16	24	10.350000381469727	6.909999847412109	True
ABCG2	ENSG00000118777.10	4	3.619999885559082	0.4000000059604645	False
ABI1	ENSG00000136754.16	13	8.050000190734863	1.7100000381469727	True
ABLIM2	ENSG00000163995.19	15	1.3200000524520874	0.4699999988079071	False
ACAA1	ENSG00000060971.17	20	33.470001220703125	18.979999542236328	True
ACAD8	ENSG00000151498.11	17	10.970000267028809	7.480000019073486	True
ACLY	ENSG00000131473.16	10	17.25	7.159999847412109	True
ACOT9	ENSG00000123130.16	8	10.699999809265137	8.420000076293945	True
ACSF2	ENSG00000167107.12	25	19.549999237060547	10.079999923706055	True
ACSL6	ENSG00000164398.12	21	0.10000000149011612	0.09000000357627869	False
ACTN1	ENSG00000072110.13	21	60.880001068115234	57.349998474121094	True
ADAM15	ENSG00000143537.13	32	37.36000061035156	17.899999618530273	True
ADAM23	ENSG00000114948.12	3	1.0399999618530273	0.3400000035762787	False
ADAM7	ENSG00000069206.15	4	0.0	0.0	False
ADGRF1	ENSG00000153292.15	13	0.7200000286102295	0.699999988079071	False
ADHFE1	ENSG00000147576.15	18	8.649999618530273	6.510000228881836	True
AFAP1	ENSG00000196526.10	10	5.159999847412109	1.25	True
AFMID	ENSG00000183077.15	15	9.84000015258789	7.559999942779541	True
AGK	ENSG00000006530.15	11	8.130000114440918	4.300000190734863	True
AHI1	ENSG00000135541.20	17	5.769999980926514	4.630000114440918	True
AKAP13	ENSG00000170776.21	24	20.799999237060547	17.149999618530273	True
AKT1	ENSG00000142208.15	19	58.470001220703125	10.289999961853027	True
ALKBH3	ENSG00000166199.12	12	12.100000381469727	9.4399995803833	True
AMACR	ENSG00000242110.7	9	2.2200000286102295	1.340000033378601	True
AMN1	ENSG00000151743.10	12	4.360000133514404	1.190000057220459	True
ANK2	ENSG00000145362.17	27	3.5	0.4399999976158142	False
ANKRD10	ENSG00000088448.14	11	61.79999923706055	36.470001220703125	True
ANO7	ENSG00000146205.13	9	21.190000534057617	17.889999389648438	True
AP1S2	ENSG00000182287.13	6	8.600000381469727	1.7699999809265137	True
APAF1	ENSG00000120868.13	13	1.409999966621399	1.25	True
APLP2	ENSG00000084234.16	25	72.5999984741211	50.66999816894531	True
APOL4	ENSG00000100336.17	12	4.349999904632568	2.700000047683716	True
AR	ENSG00000169083.16	9	6.039999961853027	4.739999771118164	True
ARFGAP2	ENSG00000149182.14	30	29.260000228881836	20.43000030517578	True
ARGLU1	ENSG00000134884.13	4	130.77000427246094	35.869998931884766	True
ARHGAP44	ENSG00000006740.16	12	2.809999942779541	2.440000057220459	True
ARHGEF11	ENSG00000132694.18	7	8.579999923706055	8.069999694824219	True
ARHGEF12	ENSG00000196914.8	14	17.510000228881836	0.38999998569488525	False
ARHGEF26	ENSG00000114790.12	5	6.360000133514404	1.3200000524520874	True
ARL16	ENSG00000214087.8	15	18.959999084472656	10.289999961853027	True
ARMC12	ENSG00000157343.8	4	2.880000114440918	0.3199999928474426	False
ARRB1	ENSG00000137486.16	12	8.84000015258789	6.699999809265137	True
ASH1L	ENSG00000116539.12	7	8.880000114440918	1.5199999809265137	True
ASPH	ENSG00000198363.17	30	12.5	10.619999885559082	True
ATG16L2	ENSG00000168010.10	21	11.649999618530273	5.019999980926514	True
ATL2	ENSG00000119787.13	17	17.93000030517578	4.400000095367432	True
ATP6V0B	ENSG00000117410.13	13	41.59000015258789	24.610000610351562	True
ATP6V0E2	ENSG00000171130.17	13	24.709999084472656	6.269999980926514	True
ATRIP	ENSG00000164053.19	8	1.2300000190734863	0.8100000023841858	False
AUP1	ENSG00000115307.16	8	76.62999725341797	20.3799991607666	True
BAG2	ENSG00000112208.11	1	8.550000190734863	0.0	False
BAG5	ENSG00000166170.9	4	9.5600004196167	0.38999998569488525	False
BCL2L1	ENSG00000171552.12	9	41.22999954223633	2.930000066757202	True
BCLAF1	ENSG00000029363.16	24	11.529999732971191	10.59000015258789	True
BCS1L	ENSG00000074582.12	20	11.050000190734863	8.050000190734863	True
BEND4	ENSG00000188848.15	3	0.4000000059604645	0.20999999344348907	False
BEST1	ENSG00000167995.15	8	3.380000114440918	0.5799999833106995	False
BLOC1S6	ENSG00000104164.10	20	19.139999389648438	0.9599999785423279	False
BMPR1B	ENSG00000138696.10	8	4.489999771118164	2.0799999237060547	True
BOD1L1	ENSG00000038219.12	6	6.480000019073486	5.320000171661377	True
